Bm1,WBGene00220262,NA,0
Bm10000,WBGene00230261,NA,0
Bm10001,WBGene00230262,NA,2
Bm10002,WBGene00230263,NA,1
Bm10004,WBGene00230265,Bma-pcm-1.3,0
Bm10006a,WBGene00230267,Bma-cyk-4.1,0
Bm10006b,WBGene00230267,Bma-cyk-4.1,0
Bm10006e,WBGene00230267,Bma-cyk-4.1,0
Bm10007,WBGene00230268,NA,0
Bm10008a,WBGene00230269,NA,1
Bm10008b,WBGene00230269,NA,0
Bm10008c,WBGene00230269,NA,0
Bm10010,WBGene00230271,NA,6
Bm10012,WBGene00230273,NA,1
Bm10013,WBGene00230274,NA,0
Bm10014,WBGene00230275,NA,0
Bm10016,WBGene00230277,NA,0
Bm10017,WBGene00230278,NA,0
Bm10018,WBGene00230279,NA,0
Bm10019,WBGene00230280,NA,0
Bm10020,WBGene00230281,NA,1
Bm10021,WBGene00230282,NA,1
Bm10023,WBGene00230284,NA,1
Bm10025,WBGene00230286,NA,0
Bm10026,WBGene00230287,NA,1
Bm10027,WBGene00230288,NA,0
Bm10028,WBGene00230289,NA,0
Bm10031,WBGene00230292,NA,2
Bm10032,WBGene00230293,NA,0
Bm10033,WBGene00230294,NA,11
Bm10034,WBGene00230295,NA,0
Bm10035,WBGene00230296,Bma-abt-4,15
Bm10036,WBGene00230297,NA,1
Bm10037,WBGene00230298,NA,0
Bm10038,WBGene00230299,NA,1
Bm10039,WBGene00230300,NA,1
Bm10040,WBGene00230301,NA,4
Bm10041a,WBGene00230302,NA,1
Bm10041b,WBGene00230302,NA,1
Bm10042,WBGene00230303,NA,0
Bm10044,WBGene00230305,NA,0
Bm10045,WBGene00230306,NA,0
Bm10047,WBGene00230308,NA,0
Bm10051,WBGene00230312,NA,0
Bm10054,WBGene00230315,Bma-pax-3.2,0
Bm10055,WBGene00230316,NA,0
Bm10056,WBGene00230317,NA,1
Bm10058a,WBGene00230319,Bma-pqn-35,1
Bm10058b,WBGene00230319,Bma-pqn-35,1
Bm1005a,WBGene00221266,NA,0
Bm1006,WBGene00221267,NA,0
Bm10060a,WBGene00230321,NA,0
Bm10060b,WBGene00230321,NA,0
Bm10061,WBGene00230322,NA,1
Bm10062,WBGene00230323,NA,0
Bm10063,WBGene00230324,NA,1
Bm10065a,WBGene00230326,NA,0
Bm10065b,WBGene00230326,NA,0
Bm10066,WBGene00230327,NA,0
Bm10067,WBGene00230328,NA,1
Bm10068a,WBGene00230329,NA,11
Bm10068b,WBGene00230329,NA,11
Bm1007,WBGene00221268,NA,0
Bm10070,WBGene00230331,NA,4
Bm10071a,WBGene00230332,NA,0
Bm10071b,WBGene00230332,NA,0
Bm10072,WBGene00230333,NA,1
Bm10073,WBGene00230334,NA,0
Bm10075,WBGene00230336,NA,1
Bm10076a,WBGene00230337,NA,0
Bm10076b,WBGene00230337,NA,0
Bm10077,WBGene00230338,NA,0
Bm10079,WBGene00230340,NA,0
Bm1008,WBGene00221269,NA,0
Bm10081a,WBGene00230342,NA,0
Bm10081b,WBGene00230342,NA,0
Bm10082,WBGene00230343,Bma-rod-1,0
Bm10083,WBGene00230344,Bma-ing-3,0
Bm10085,WBGene00230346,NA,0
Bm10086,WBGene00230347,NA,0
Bm10087,WBGene00230348,NA,0
Bm10088a,WBGene00230349,NA,0
Bm10088b,WBGene00230349,NA,0
Bm10089a,WBGene00230350,Bma-die-1,0
Bm10089b,WBGene00230350,Bma-die-1,0
Bm10089c,WBGene00230350,Bma-die-1,0
Bm10090,WBGene00230351,NA,2
Bm10091,WBGene00230352,NA,1
Bm10092,WBGene00230353,NA,0
Bm10093,WBGene00230354,NA,1
Bm10094,WBGene00230355,NA,1
Bm10095a,WBGene00230356,NA,0
Bm10095b,WBGene00230356,NA,0
Bm10097,WBGene00230358,NA,0
Bm10098,WBGene00230359,NA,0
Bm10099,WBGene00230360,NA,0
Bm10100,WBGene00230361,Bma-vha-6,8
Bm10105,WBGene00230366,NA,1
Bm10108a,WBGene00230369,NA,0
Bm10108b,WBGene00230369,NA,0
Bm10109,WBGene00230370,NA,0
Bm10112,WBGene00230373,NA,1
Bm10114,WBGene00230375,NA,0
Bm10115,WBGene00230376,NA,0
