Bm_248,215,2253,+,WBGene00268435,Bm17292.1
Bm_248,4754,6404,-,WBGene00268436,Bm17293.1
Bm_248,7394,8817,-,WBGene00268437,Bm17294a.1
Bm_248,7394,7998,-,WBGene00268437,Bm17294b.1
Bm_032,2785,2856,-,WBGene00269604,Bm18389
Bm_032,4181,4249,-,WBGene00269605,Bm18390
Bm_032,4965,5309,-,WBGene00269606,Bm18391
Bm_032,16235,19853,+,WBGene00268306,Bm17163.1
Bm_032,19579,19923,+,WBGene00269607,Bm18392
Bm_032,20359,20643,+,WBGene00269608,Bm18393
Bm_032,21194,21265,+,WBGene00234803,Bm14542
Bm_032,21394,21981,+,WBGene00269609,Bm18394
Bm_032,24616,26413,+,WBGene00268307,Bm17164.1
Bm_143,938,1042,+,WBGene00236064,Bm16167
Bm_143,1314,1432,+,WBGene00236069,Bm16172
Bm_143,12897,13001,+,WBGene00236063,Bm16166
Bm_143,13804,13908,+,WBGene00236066,Bm16169
Bm_143,15858,15962,+,WBGene00236062,Bm16165
Bm_143,16311,16409,-,WBGene00235749,Bm15852
Bm_202,1182,13023,-,WBGene00268418,Bm17275.1
Bm_282,904,3113,-,WBGene00268445,Bm17302.1
Bm_071,1,1869,+,WBGene00268352,Bm17209.1
Bm_071,10801,13426,+,WBGene00268353,Bm17210.1
Bm_071,13460,16680,+,WBGene00268354,Bm17211.1
Bm_288,234,2115,+,WBGene00268446,Bm17303.1
Bm_015,19182,20633,+,WBGene00221383,Bm1122.1
Bm_015,24070,24480,+,WBGene00268274,Bm17130.1
Bm_015,39217,42941,-,WBGene00228675,Bm8414a.1
Bm_015,39217,42941,-,WBGene00228675,Bm8414b.1
Bm_015,44417,45113,+,WBGene00228674,Bm8413.1
Bm_015,46087,50896,-,WBGene00228673,Bm8412a.1
Bm_015,46087,48797,-,WBGene00228673,Bm8412b.1
Bm_015,52346,55480,+,WBGene00228672,Bm8411.1
Bm_015,56005,56290,-,WBGene00233616,Bm13355.1
Bm_015,61013,62502,-,WBGene00228668,Bm8407a.1
Bm_015,62305,62502,-,WBGene00228668,Bm8407b.1
Bm_015,64256,64813,-,WBGene00268276,Bm17132.1
Bm_015,69928,70912,+,WBGene00228669,Bm8408.1
Bm_015,75437,76999,+,WBGene00224507,Bm4246.1
Bm_015,77876,80154,-,WBGene00228670,Bm8409.1
Bm_v4_Chr3_scaffold_001,6955,7059,+,WBGene00235828,Bm15931
Bm_v4_Chr3_scaffold_001,7409,7513,+,WBGene00235825,Bm15928
Bm_v4_Chr3_scaffold_001,7784,7900,+,WBGene00235446,Bm15549
Bm_v4_Chr3_scaffold_001,8035,8138,+,WBGene00235826,Bm15929
Bm_v4_Chr3_scaffold_001,8488,8585,+,WBGene00235824,Bm15927
Bm_v4_Chr3_scaffold_001,9862,14667,-,WBGene00268733,Bm17590.1
Bm_v4_Chr3_scaffold_001,18065,18081,+,WBGene00235533,Bm15636
Bm_v4_Chr3_scaffold_001,22814,26120,-,WBGene00226065,Bm5804.1
Bm_v4_Chr3_scaffold_001,34023,34788,-,WBGene00268734,Bm17591.1
Bm_v4_Chr3_scaffold_001,42567,43235,-,WBGene00233037,Bm12776.1
Bm_v4_Chr3_scaffold_001,44625,50404,+,WBGene00227546,Bm7285.1
Bm_v4_Chr3_scaffold_001,53388,57035,+,WBGene00224343,Bm4082.1
Bm_v4_Chr3_scaffold_001,65130,74773,+,WBGene00226430,Bm6169a.1
Bm_v4_Chr3_scaffold_001,68531,74773,+,WBGene00226430,Bm6169b.1
Bm_v4_Chr3_scaffold_001,75293,91304,-,WBGene00221963,Bm1702a.1
Bm_v4_Chr3_scaffold_001,75293,89711,-,WBGene00221963,Bm1702b.1
Bm_v4_Chr3_scaffold_001,75293,87793,-,WBGene00221963,Bm1702c.1
Bm_v4_Chr3_scaffold_001,93793,98327,-,WBGene00225012,Bm4751.1
Bm_v4_Chr3_scaffold_001,101572,103205,-,WBGene00268735,Bm17592.1
Bm_v4_Chr3_scaffold_001,104305,104995,-,WBGene00233039,Bm12778.1
Bm_v4_Chr3_scaffold_001,107559,112282,-,WBGene00227415,Bm7154a.1
Bm_v4_Chr3_scaffold_001,107559,112282,-,WBGene00227415,Bm7154b.1
Bm_v4_Chr3_scaffold_001,109438,112246,-,WBGene00227415,Bm7154c.1
Bm_v4_Chr3_scaffold_001,117034,118154,+,WBGene00221870,Bm1609a.1
Bm_v4_Chr3_scaffold_001,117039,118114,+,WBGene00221870,Bm1609b.1
Bm_v4_Chr3_scaffold_001,120224,122595,-,WBGene00222042,Bm1781.1
Bm_v4_Chr3_scaffold_001,123772,129491,+,WBGene00226981,Bm6720.1
Bm_v4_Chr3_scaffold_001,130160,136476,-,WBGene00226295,Bm6034a.1
Bm_v4_Chr3_scaffold_001,130160,136476,-,WBGene00226295,Bm6034b.1
Bm_v4_Chr3_scaffold_001,137014,138600,+,WBGene00234299,Bm14038a.1
Bm_v4_Chr3_scaffold_001,137014,138600,+,WBGene00234299,Bm14038b.1
Bm_v4_Chr3_scaffold_001,137014,138600,+,WBGene00234299,Bm14038c.1
Bm_v4_Chr3_scaffold_001,138877,142005,-,WBGene00224015,Bm3754.1
Bm_v4_Chr3_scaffold_001,156660,163486,+,WBGene00222656,Bm2395.1
Bm_v4_Chr3_scaffold_001,166523,176758,-,WBGene00223172,Bm2911.1
Bm_v4_Chr3_scaffold_001,185128,186143,+,WBGene00234610,Bm14349.1
Bm_v4_Chr3_scaffold_001,192507,211320,+,WBGene00231492,Bm11231.1
Bm_v4_Chr3_scaffold_001,212989,227182,-,WBGene00231518,Bm11257.1
Bm_v4_Chr3_scaffold_001,230395,230995,-,WBGene00226306,Bm6045a.1
Bm_v4_Chr3_scaffold_001,230395,230917,-,WBGene00226306,Bm6045b.1
Bm_v4_Chr3_scaffold_001,231566,232465,+,WBGene00226851,Bm6590.1
Bm_v4_Chr3_scaffold_001,234238,236361,-,WBGene00225498,Bm5237a.1
Bm_v4_Chr3_scaffold_001,234238,236361,-,WBGene00225498,Bm5237b.1
Bm_v4_Chr3_scaffold_001,243616,245455,+,WBGene00224449,Bm4188.1
Bm_v4_Chr3_scaffold_001,249624,262200,-,WBGene00232354,Bm12093a.1
Bm_v4_Chr3_scaffold_001,249624,262200,-,WBGene00232354,Bm12093b.1
Bm_v4_Chr3_scaffold_001,255455,262200,-,WBGene00232354,Bm12093c.1
Bm_v4_Chr3_scaffold_001,259791,262200,-,WBGene00232354,Bm12093d.1
Bm_v4_Chr3_scaffold_001,267871,272916,+,WBGene00226051,Bm5790.1
Bm_v4_Chr3_scaffold_001,273893,274752,-,WBGene00234611,Bm14350.1
Bm_v4_Chr3_scaffold_001,275607,284716,+,WBGene00224132,Bm3871.1
Bm_v4_Chr3_scaffold_001,285483,288789,-,WBGene00233041,Bm12780.1
Bm_v4_Chr3_scaffold_001,291392,296051,+,WBGene00227389,Bm7128.1
Bm_v4_Chr3_scaffold_001,298267,299838,+,WBGene00227387,Bm7126.1
Bm_v4_Chr3_scaffold_001,301558,303618,-,WBGene00222374,Bm2113a.1
Bm_v4_Chr3_scaffold_001,301558,303115,-,WBGene00222374,Bm2113b.1
Bm_v4_Chr3_scaffold_001,304774,305145,+,WBGene00268736,Bm17593.1
Bm_v4_Chr3_scaffold_001,309892,312294,+,WBGene00225307,Bm5046.1
Bm_v4_Chr3_scaffold_001,315770,322537,-,WBGene00224160,Bm3899.1
Bm_v4_Chr3_scaffold_001,346190,346265,-,WBGene00235414,Bm15517
Bm_v4_Chr3_scaffold_001,348090,355135,-,WBGene00226167,Bm5906.1
Bm_v4_Chr3_scaffold_001,365628,368507,+,WBGene00226593,Bm6332.1
Bm_v4_Chr3_scaffold_001,371013,375378,+,WBGene00223178,Bm2917.1
