"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"WBGene00234641",6272.71679822146,7.34999803476246,0.2800986782756,26.2407451545719,9.11598304837476e-152,9.76777583633356e-148,"yes"
"WBGene00231141",3648.19328052371,-8.43290886643379,0.323060704305567,-26.1031711812822,3.35576799696692e-150,1.79785270437503e-146,"yes"
"WBGene00223794",10761.5040147966,8.27832395192248,0.329109047744705,25.1537416204495,1.28607746012657e-139,4.59343999508541e-136,"yes"
"WBGene00227788",39715.0067882015,7.7800658687944,0.323425065841263,24.0552347065545,7.35859325450031e-128,1.97118316804927e-124,"yes"
"WBGene00231175",6392.90416174409,5.50093855326229,0.233843022801331,23.5240653638651,2.31391625265835e-122,4.95872252944684e-119,"yes"
"WBGene00229187",31911.2361857549,5.59621464258056,0.24109331271558,23.2118202680406,3.45915905259647e-119,6.17748154142853e-116,"yes"
"WBGene00223959",5091.61734644255,9.9142562320952,0.432535596507171,22.9212492848108,2.85275801809921e-116,4.36675745199044e-113,"yes"
"WBGene00230923",17857.8341776432,-12.083401340423,0.533678619518123,-22.641719001847,1.68349007194976e-113,2.25482451511771e-110,"yes"
"WBGene00227393",6677.14632713328,7.27269955444211,0.325701700357091,22.3293263328638,1.91796567093598e-110,2.28344468489767e-107,"yes"
"WBGene00221077",5532.99977717211,6.0638845717628,0.276790136041447,21.9078781436589,2.18528670704733e-106,2.34153470660121e-103,"yes"
"WBGene00225962",7341.70644170405,-6.87601179431332,0.316175794258404,-21.7474326598629,7.30552366995218e-105,7.11624419304887e-102,"yes"
"WBGene00233064",277091.722784081,6.30197483590476,0.29089452079044,21.6641235413461,4.47343632619906e-104,3.99440585293525e-101,"yes"
"WBGene00233449",3580.87328681532,5.00450781052055,0.231382102169234,21.6287593707668,9.63393857505968e-104,7.94058860244342e-101,"yes"
"WBGene00230511",4205.55847241979,5.08895078399202,0.240347959578404,21.1732639333348,1.68475895215105e-99,1.28944229802132e-96,"yes"
"WBGene00226645",35857.8411989372,6.44522414925791,0.305900645231185,21.0696651011864,1.50995467375829e-98,1.078610955288e-95,"yes"
"WBGene00226682",76963.3292473123,3.94983482329173,0.18932531598621,20.8626870776195,1.16914743780386e-96,7.82963424754276e-94,"yes"
"WBGene00227283",34885.2690957548,5.10389662594144,0.255129140002604,20.005149650445,4.96693345854855e-89,3.13062894166751e-86,"yes"
"WBGene00221852",38386.8234256028,9.14682590967027,0.459596676915117,19.9018538842908,3.92152633736604e-88,2.33439748360428e-85,"yes"
"WBGene00230704",12425.5642677759,-5.46621822350472,0.2757963194279,-19.8197649440849,2.01045522234783e-87,1.13379093197142e-84,"yes"
"WBGene00230202",70229.3493767078,4.78258251589213,0.242632337763182,19.7112328883387,1.72707556551511e-86,9.25280734224718e-84,"yes"
"WBGene00224105",10605.1282715692,5.18772002165111,0.268248856025909,19.3392065058799,2.51312411432868e-83,1.28229166119199e-80,"yes"
"WBGene00223171",4087.00430367358,5.26370112890021,0.27931627963569,18.8449493017937,3.23274836681438e-79,1.57449539774618e-76,"yes"
"WBGene00228986",28594.2658942808,-10.115060954109,0.54062213464574,-18.7100385017294,4.10078674986714e-78,1.91043174020984e-75,"yes"
"WBGene00230671",5006.72744952728,-7.05491272149008,0.378696620455466,-18.6294578309281,1.85392735138808e-77,8.27701315421802e-75,"yes"
"WBGene00221940",82463.8064305141,3.47899938564004,0.187795273862628,18.5254895614941,1.28627891934031e-76,5.51299144829258e-74,"yes"
"WBGene00227793",7560.38446819338,4.65598606469432,0.251783289971666,18.4920375979608,2.39337602837197e-76,9.86347082461756e-74,"yes"
"WBGene00233611",1874.96889100218,6.11777843111295,0.331416243938774,18.4595008331672,4.37364856082307e-76,1.73569053071182e-73,"yes"
"WBGene00230791",3026.90808209863,4.16375577652995,0.228116249686445,18.2527802480235,1.96642150944827e-74,7.52507374062079e-72,"yes"
"WBGene00223012",28749.0778105568,-5.27211300686397,0.288878644282098,-18.2502691397139,2.05892442602999e-74,7.60737076721079e-72,"yes"
"WBGene00268737",2362.40108424494,4.92332833106386,0.270902485955664,18.1738027013514,8.32253572399307e-74,2.97253234275286e-71,"yes"
"WBGene00229668",2620.78335107213,4.84900956092131,0.268097150746772,18.0867627552722,4.05200880320780e-73,1.40055723633457e-70,"yes"
"WBGene00269117",4578.12136225599,6.74300912986894,0.37331011932526,18.062754746795,6.26182685447275e-73,2.09673358580236e-70,"yes"
"WBGene00222456",10430.357667784,4.00062062168073,0.222049073316039,18.0168309731548,1.43745261200855e-72,4.66736507202171e-70,"yes"
"WBGene00224907",15077.7028632213,5.58742212025358,0.310807626442438,17.977107525347,2.94458533237822e-72,9.27977406953899e-70,"yes"
"WBGene00233138",5780.78247241251,3.66013025498533,0.204348565244982,17.9112109282363,9.64150184186178e-72,2.95167692101568e-69,"yes"
"WBGene00224861",4156.95077596465,5.70875072468458,0.320094199821511,17.8345959653997,3.80792287224425e-71,1.13338593266936e-68,"yes"
"WBGene00222284",12773.7105954432,3.43955138026635,0.193224575846573,17.8007966388161,6.96707294185413e-71,2.01762666410722e-68,"yes"
"WBGene00231264",6570.31821340153,4.0568771150666,0.228388682053354,17.76303921277,1.36631820703089e-70,3.85265778640422e-68,"yes"
"WBGene00230512",13553.8760693434,3.95164871078209,0.223559687103089,17.6760343601657,6.41529316493026e-70,1.76256067339046e-67,"yes"
"WBGene00222341",11104.2635493017,4.29280211208545,0.243217760727629,17.6500355041621,1.0169225447735e-69,2.724081266812e-67,"yes"
"WBGene00225426",3525.90652637444,-5.53283438025936,0.315610680192338,-17.5305676502695,8.37293968428492e-69,2.18819631017349e-66,"yes"
"WBGene00222893",49568.8971149718,4.56803576490676,0.260889297234759,17.5094793589645,1.21298377760777e-68,3.09455266120648e-66,"yes"
"WBGene00225902",19465.8946975944,3.76119072451816,0.215728581210186,17.4348280761816,4.48907646095041e-68,1.11861521579264e-65,"yes"
"WBGene00225022",30073.6218665852,3.56148740254072,0.204588996164345,17.4080105446131,7.17337185814496e-68,1.74687907863689e-65,"yes"
"WBGene00224379",17455.3778569246,3.50725792319804,0.20217550128639,17.3475910824124,2.05690468267773e-67,4.89771859442041e-65,"yes"
"WBGene00223573",865.850288101156,5.07345013329278,0.292940671920083,17.3190363087474,3.37970262810745e-67,7.87250296960246e-65,"yes"
"WBGene00224771",527.35372901191,6.19702109413844,0.359720420535741,17.2273263911708,1.65632129623188e-66,3.77606014662226e-64,"yes"
